100,0.1,0.5,0.2,6859,3.401087523,226,,,,,,,,1000,0.1,0.5,0.2,6859,21.61562085,143
250,0.5,0.5,0.2,6859,4.954006195,131,,,,,,,,250,0.1,1,0.2,6859,5.935388565,158
500,0.1,0.75,0.2,6859,11.15179181,144,,,,,,,,500,0.1,1,0.2,6859,14.27314305,189
500,0.1,1,0.2,6859,9.407820463,123,,,,,,,,100,0.1,0.5,0.2,6859,3.401087523,226
500,0.3,1,0.2,6859,13.16367722,175,,,,,,,,500,0.1,0.75,0.2,6859,11.15179181,144
1000,0.1,0.5,0.2,6859,22.96465015,150,,,,,,,,500,0.1,1,0.2,6859,9.407820463,123
1000,0.1,1,0.2,6859,28.14806366,177,,,,,,,,1000,0.1,0.5,0.2,6859,22.96465015,150
1000,0.3,0.5,0.2,6859,21.3621738,139,,,,,,,,1000,0.1,1,0.2,6859,28.14806366,177
1000,0.3,0.75,0.2,6859,16.76015306,110,,,,100,1,,,1000,0.3,1,0.2,6859,17.90725493,118
1000,0.5,0.5,0.2,6859,29.03868246,188,,,,250,2,,,1000,0.3,0.5,0.2,6859,22.57966232,146
100,0.3,0.5,0.2,6865,3.139850378,201,,,,500,6,,,500,0.3,1,0.2,6859,13.16367722,175
500,0.5,0.5,0.2,6870,8.943981171,118,,,,1000,10,,,1000,0.3,0.5,0.2,6859,21.3621738,139
500,0.5,1,0.2,6870,15.75601649,207,,,,,0,,,1000,0.3,0.75,0.2,6859,16.76015306,110
1000,0.5,0.75,0.2,6870,22.54848146,148,,,,,,,,500,0.5,0.75,0.2,6859,9.376719952,113
100,0.1,0.75,0.2,6875,4.900079012,325,,,,,,,,1000,0.5,1,0.2,6859,18.91316843,124
100,0.5,0.5,0.2,6875,4.059701681,262,,,,0.1,8,,,500,0.5,0.5,0.2,6859,9.772871494,129
250,0.1,0.75,0.2,6875,5.922632694,157,,,,0.3,5,,,1000,0.5,0.5,0.2,6859,21.71471095,142
250,0.1,1,0.2,6875,5.344851971,142,,,,0.5,6,,,250,0.5,0.5,0.2,6859,4.954006195,131
250,0.3,0.5,0.2,6875,9.673612118,254,,,,,0,,,1000,0.5,0.5,0.2,6859,29.03868246,188
250,0.3,1,0.2,6875,5.677153349,148,,,,0.5,9,,,,,,,,,
250,0.5,0.75,0.2,6875,6.159823656,162,,,,0.75,3,,,,,,,,,
500,0.1,0.5,0.2,6875,13.15865493,173,,,,1,7,,,,,,,,,
500,0.3,0.5,0.2,6875,11.27999043,148,,,,,0,,,,,,,,,
500,0.3,0.75,0.2,6875,13.91012955,184,,,,,,,,,,,,,,
500,0.5,0.75,0.2,6875,7.559863091,100,,,,,,,,,,,,,,
1000,0.1,0.75,0.2,6875,33.9018414,193,,,,,,,,,,,,,,
1000,0.3,1,0.2,6875,19.78606176,129,,,,,,,,,,,,,,
1000,0.5,1,0.2,6875,33.18185472,218,,,,,,,,,,,,,,
100,0.3,0.75,0.2,6930,1.548405409,102,,,,,,,,,,,,,,
250,0.3,0.75,0.2,6930,3.819467545,100,,,,,,,,,,,,,,
250,0.5,1,0.2,6941,4.710608006,125,,,,,,,,,,,,,,
100,0.3,1,0.2,6950,1.746586323,114,,,,,,,,,,,,,,
250,0.1,0.5,0.2,7005,4.216064215,110,,,,,,,,,,,,,,
100,0.5,1,0.2,7016,1.963783026,129,,,,,,,,,,,,,,
100,0.1,1,0.2,7035,1.951770306,124,,,,,,,,,,,,,,
100,0.5,0.75,0.2,7086,1.706399441,112,,,,,,,,,,,,,,
